time,open,high,low,close,time
2021-11-18 16:24:00,1.3484150000000001,1.3485049999999998,1.34822,1.3485,2021-11-18 16:24:00
2021-11-18 16:27:00,1.348495,1.348495,1.3479100000000002,1.34821,2021-11-18 16:27:00
2021-11-18 16:30:00,1.347925,1.3483399999999999,1.347925,1.3481299999999998,2021-11-18 16:30:00
2021-11-18 16:33:00,1.3483100000000001,1.34837,1.34821,1.34821,2021-11-18 16:33:00
2021-11-18 16:36:00,1.3483200000000002,1.348695,1.3483049999999999,1.3483049999999999,2021-11-18 16:36:00
2021-11-18 16:39:00,1.348195,1.348195,1.34781,1.34781,2021-11-18 16:39:00
2021-11-18 16:42:00,1.347835,1.347835,1.347315,1.34737,2021-11-18 16:42:00
2021-11-18 16:45:00,1.347545,1.34792,1.3474949999999999,1.34792,2021-11-18 16:45:00
2021-11-18 16:48:00,1.3478050000000001,1.34803,1.347725,1.348025,2021-11-18 16:48:00
2021-11-18 21:36:00,1.34991,1.34991,1.349695,1.34972,2021-11-18 21:36:00
2021-11-18 21:39:00,1.3498299999999999,1.3498299999999999,1.349785,1.3498,2021-11-18 21:39:00
2021-11-18 21:42:00,1.34981,1.34992,1.34981,1.349895,2021-11-18 21:42:00
2021-11-18 21:45:00,1.349895,1.350025,1.349895,1.3499249999999998,2021-11-18 21:45:00
2021-11-18 21:48:00,1.34991,1.34991,1.34979,1.34981,2021-11-18 21:48:00
2021-11-18 21:51:00,1.349805,1.35006,1.34971,1.350015,2021-11-18 21:51:00
2021-11-18 21:54:00,1.3499949999999998,1.3499949999999998,1.3498350000000001,1.34992,2021-11-18 21:54:00
2021-11-18 21:57:00,1.35004,1.3500450000000002,1.349845,1.349895,2021-11-18 21:57:00
2021-11-18 22:00:00,1.34984,1.3498999999999999,1.34972,1.34972,2021-11-18 22:00:00
2021-11-19 06:39:00,1.348855,1.34893,1.34885,1.34891,2021-11-19 06:39:00
2021-11-19 06:42:00,1.34891,1.3489149999999999,1.3488799999999999,1.34891,2021-11-19 06:42:00
2021-11-19 06:45:00,1.3489149999999999,1.3489149999999999,1.3488,1.348805,2021-11-19 06:45:00
2021-11-19 06:48:00,1.3488,1.34889,1.348795,1.34889,2021-11-19 06:48:00
2021-11-19 06:51:00,1.34889,1.349,1.34889,1.3489849999999999,2021-11-19 06:51:00
2021-11-19 06:54:00,1.34899,1.348995,1.3488799999999999,1.3488799999999999,2021-11-19 06:54:00
2021-11-19 06:57:00,1.3489,1.34892,1.3486850000000001,1.34869,2021-11-19 06:57:00
2021-11-19 07:00:00,1.34878,1.34878,1.3486850000000001,1.34869,2021-11-19 07:00:00
2021-11-19 07:03:00,1.34869,1.349005,1.3486150000000001,1.3489499999999999,2021-11-19 07:03:00
2021-11-19 07:06:00,1.348925,1.3490099999999998,1.3489149999999999,1.349,2021-11-19 07:06:00
2021-11-19 07:09:00,1.349,1.34901,1.348835,1.34891,2021-11-19 07:09:00
2021-11-19 07:12:00,1.3489499999999999,1.348995,1.348905,1.348905,2021-11-19 07:12:00
2021-11-19 07:15:00,1.348905,1.3489900000000001,1.34889,1.3489,2021-11-19 07:15:00
2021-11-19 07:18:00,1.3489,1.34898,1.3488099999999998,1.3489149999999999,2021-11-19 07:18:00
2021-11-19 07:21:00,1.3489149999999999,1.3490199999999999,1.3489149999999999,1.3489849999999999,2021-11-19 07:21:00
2021-11-19 07:24:00,1.349,1.349015,1.3489900000000001,1.349015,2021-11-19 07:24:00
2021-11-19 07:27:00,1.34907,1.3492449999999998,1.34901,1.3492250000000001,2021-11-19 07:27:00
2021-11-19 07:30:00,1.349305,1.3495249999999999,1.349305,1.34944,2021-11-19 07:30:00
2021-11-19 07:33:00,1.34944,1.3497050000000002,1.34944,1.34962,2021-11-19 07:33:00
2021-11-19 07:36:00,1.34962,1.349805,1.3496000000000001,1.349805,2021-11-19 07:36:00
2021-11-19 07:39:00,1.3497999999999999,1.3499349999999999,1.349695,1.3499249999999998,2021-11-19 07:39:00
2021-11-19 07:42:00,1.3499249999999998,1.35001,1.34982,1.3499249999999998,2021-11-19 07:42:00
2021-11-19 07:45:00,1.3499249999999998,1.3499249999999998,1.349685,1.349695,2021-11-19 07:45:00
